nombre;apellido;sexo;equipo;codigo;correo;fechaNacimiento;promedioNota;tieneHijos;ingresoPromedioHaceDosMeses;ingresoPromedioMesPasado
Imani;Macey;Femenino;morado;AF49754626;nisi.dictum@arcuac.edu;14/08/1996;13;No;1000;3200
Roth;Ciaran;Femenino;negro;IS20108900;;05/09/1993;14;No;1700;3400
Dillon;Hanna;Masculino;morado;IE22539124;;12/09/1999;16;Sí;1200;1500
Ila;Selma;Masculino;púrpura;EN18464019;      ;11/06/2000;20;Sí;1200;3100
Rachel;Deirdre;Femenino;marrón;EN69135783;         ;21/07/2000;12;Sí;1700;1900
Warren;Iona;Femenino;turquesa;EN18433124;;06/02/2001;15;No;1200;3000
Leslie;Susan;Masculino;amarillo;IS25144127;;06/02/1997;19;Sí;1900;2800
Rahim;Kelsie;Femenino;azul;AR68730803;        ;29/10/1998;18;No;1100;2800
Stacey;Clark;Femenino;marrón;ME79913760;;11/09/1990;11;No;1400;1500
Yuli;Jared;Masculino;celeste;IE63998255;;29/12/1994;17;No;1100;3100
Hiram;Whitney;Femenino;marrón;IS95407645;;06/12/1996;18;No;1200;2700
Constance;Tara;Femenino;amarillo;AF47886385;    mus.Proin.vel@euismodmauriseu.net    ;20/07/2000;10;Sí;1600;3100
Lareina;Kay;Femenino;morado;IS95173739;       eu.elit.Nulla@necurna.ca    ;19/09/1996;19;No;1100;2000
Minerva;Eugenia;Femenino;gris;IM78452198;;02/03/2000;11;Sí;1500;2000
Petra;Indira;Masculino;rojo;AF99582842;;24/09/1994;15;No;1200;2600
Ayanna;Kenneth;Masculino;rojo;IE70504633;;27/04/1997;13;No;1400;1900
Alisa;Tanner;Femenino;azul;IS73651319;;25/07/1991;9;Sí;1700;2600
Ashton;Jessica;Masculino;turquesa;II29519110;;19/08/1991;14;Sí;1500;2100
Farrah;Kimberley;Femenino;marrón;IM78833849;      ;02/09/1993;13;No;2000;2100
Duncan;Carter;Femenino;naranja;II42362831;;02/07/2000;11;Sí;1400;2500
Kelsey;Mary;Femenino;naranja;II81834335;;03/06/1990;9;No;1100;3400
Francesca;Maxine;Masculino;celeste;IS68835536;     felis@feugiattelluslorem.ca;20/09/2001;17;No;1200;2300
Rowan;Victoria;Masculino;marrón;IE15364879;;19/12/1995;19;No;1200;3300
Wade;Lucius;Masculino;amarillo;AF13385045;      ;12/01/1998;14;No;1700;1500
Shaine;Kieran;Femenino;verde;IE15608994;Sed.neque@Phasellusliberomauris.net;29/05/1996;10;Sí;1000;2200
Kaden;Blair;Femenino;marrón;ME14903273;;13/09/1992;8;No;1000;2700
Xerxes;Jessica;Femenino;rojo;IE30061573;;15/03/1996;15;Sí;1100;3100
Igor;Dean;Femenino;violeta;II84594265;justo@Cumsociis.edu;15/11/2000;17;Sí;1000;2900
Eleanor;Dylan;Masculino;morado;EN38564886;;20/07/1991;18;Sí;1100;2500
Colton;Tallulah;Femenino;gris;IS69316771;      ;08/05/1991;17;No;1600;3300
Castor;Chloe;Masculino;celeste;ME88927998;pulvinar.arcu.et@Integer.com;06/01/1998;17;No;1600;2000
Pearl;Seth;Masculino;turquesa;ME38668619;ante@Aliquamornare.com;04/04/1994;14;No;1400;3100
Vivien;Bianca;Masculino;rojo;IE16014051;Vivamus.nibh.dolor@lectus.ca;12/05/1992;10;No;1600;3300
Orson;Moana;Masculino;verde;ME89222062;;24/12/2001;17;No;1800;3100
Charles;Yvette;Femenino;rojo;AR43022164;;19/01/1999;9;No;1600;2800
Colt;Quintessa;Masculino;púrpura;ME37870281;;08/08/1994;13;No;1600;2900
Lee;Wynter;Masculino;morado;II52585014;       ;08/07/1996;15;Sí;1700;3300
Rudyard;Daria;Masculino;morado;EN72956570;;11/11/2001;18;No;1500;1600
Timothy;Avye;Masculino;negro;IE31247071;;11/03/1991;20;Sí;1500;2000
Rigel;Jasper;Masculino;rojo;IS88928353;;28/12/2001;12;Sí;1800;2200
Emma;Kenneth;Masculino;celeste;II67082249;;09/06/1995;20;No;2000;1700
Jolie;Jermaine;Masculino;rojo;IM94012289;         ;25/01/1999;16;No;1800;3200
Lenore;Galena;Femenino;naranja;EN26313043;;12/05/1994;16;Sí;2000;3100
Chiquita;Aaron;Masculino;blanco;II91775821;;16/09/1994;11;No;1200;3000
Jakeem;Elton;Masculino;blanco;IM32445372;;07/04/1994;20;Sí;1900;1900
Jael;Sopoline;Masculino;negro;EN94994782;;27/05/1999;16;No;2000;3100
Declan;Roanna;Masculino;negro;AR40081019;sem.elit@gravidamolestie.org;14/08/1991;13;Sí;1900;2900
Simone;Pearl;Masculino;púrpura;IE30846539;amet@Aliquamgravida.co.uk;25/11/1997;9;No;1200;3300
Mary;Venus;Femenino;verde;IM84327051;;31/08/1990;19;No;2000;2700
Cody;Kyra;Femenino;verde;II48935092;;02/10/1991;16;No;1300;1500
Cameron;Vielka;Masculino;morado;ME55514416;;24/09/1998;16;No;1100;2300
Abra;Anne;Masculino;violeta;II45624405;;01/03/1994;12;Sí;1600;3000
